model,accuracy_mean,accuracy_std,macro_f1,macro_f1_std,folds
Random Forest,0.8916666666666666,0.08249579113843053,0.7433862433862434,0.18148225276341262,3
SVM,0.7777777777777778,0.20786985482077452,0.7194071360738027,0.24738190869615656,3
Logistic Regression,0.7222222222222222,0.17123372230469378,0.5964726631393297,0.22135942918582363,3
KNN,0.6611111111111111,0.18774161387462002,0.5438912938912939,0.22298075482966984,3
