xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
-0.05,-0.1,0.99,0.49,0.55,1.04,1
-0.07,-0.08,0.99,0.37,0.37,-0.61,1
-0.06,-0.1,0.99,0.49,0.24,-0.06,1
-0.08,-0.11,0.99,-1.95,-0.43,-1.89,1
-0.06,-0.1,0.99,-0.67,0.24,-0.06,1
-0.06,-0.1,0.99,-0.24,0.06,0.24,1
-0.06,-0.09,0.99,0.24,0.55,0.37,1
-0.06,-0.09,0.99,0.31,0.24,0.24,1
-0.06,-0.1,0.99,0.37,0.06,0.37,1
-0.06,-0.09,0.99,0,0.18,0.55,1
-0.06,-0.1,0.99,1.16,0.55,0.67,1
-0.06,-0.09,0.99,0.85,0.37,0.06,1
-0.06,-0.1,0.99,0.12,0.18,0,1
-0.06,-0.09,0.99,0.49,0.37,0.31,1
-0.06,-0.09,0.99,0.12,0.12,0.18,1
-0.06,-0.09,0.99,0.49,0.12,0.49,1
-0.06,-0.09,0.99,0.61,0.06,0.31,1
-0.06,-0.09,0.99,-0.18,0.24,0.67,1
-0.06,-0.09,0.99,0,0.24,0.67,1
-0.06,-0.09,0.99,0.49,0.12,0.12,1
-0.06,-0.09,0.99,0.49,0.31,0.43,1
-0.06,-0.09,0.99,0,0.12,0,1
-0.06,-0.09,0.99,0.61,0.31,0.24,1
-0.06,-0.08,0.99,0.67,0.37,0.43,1
-0.06,-0.09,0.99,0,0.18,-0.24,1
-0.06,-0.09,0.99,-0.37,0.18,0.18,1
-0.07,-0.1,0.99,2.87,0.92,-0.18,1
-0.05,-0.09,1,-0.92,0.43,1.28,1
-0.05,-0.11,0.99,2.38,0.61,0.49,1
-0.05,-0.1,0.99,1.04,0.06,0.37,1
-0.05,-0.11,0.99,0.61,0.24,0.73,1
-0.05,-0.11,0.99,0.43,0.37,0.49,1
-0.05,-0.1,0.99,0.49,0.49,-0.06,1
-0.05,-0.11,0.99,0.06,0.31,0,1
-0.05,-0.11,0.99,0.67,0.37,0.37,1
-0.05,-0.11,0.99,-0.61,0,-0.06,1
-0.05,-0.11,0.99,0.55,0.24,0.37,1
-0.05,-0.11,0.99,0.06,0.18,-0.12,1
-0.05,-0.11,0.99,0.67,0.49,0.67,1
-0.05,-0.11,0.99,0.18,0.06,0.12,1
-0.05,-0.11,0.99,0.31,0.24,0.31,1
-0.05,-0.11,0.99,0.61,0.37,0.18,1
-0.05,-0.12,0.99,0.37,0.06,0.73,1
-0.05,-0.11,0.99,0.98,0.18,0.55,1
-0.05,-0.11,0.99,0.37,0.18,0.24,1
-0.05,-0.12,0.99,0.12,0.06,0.37,1
-0.05,-0.11,0.99,0.06,0.24,0.12,1
-0.05,-0.11,0.99,0.79,0.31,0.37,1
-0.05,-0.11,0.99,0.61,0.37,0.61,1
-0.05,-0.11,0.99,0.49,0.18,0.31,1
-0.05,-0.11,0.99,0.18,0.24,-0.06,1
-0.05,-0.11,0.99,0.61,0.24,0.49,1
-0.06,-0.12,0.99,0.55,0.18,0.49,1
-0.05,-0.11,0.99,0.31,0.24,0.31,1
-0.05,-0.11,0.99,1.04,0.37,0.31,1
-0.06,-0.12,0.99,0.49,0.49,0.37,1
-0.05,-0.12,0.99,0.06,0.24,0.31,1
-0.05,-0.11,0.99,0.67,0.24,0.24,1
-0.05,-0.11,0.99,0.43,0.31,0.43,1
-0.06,-0.12,0.99,0.98,0.31,0.61,1
-0.05,-0.12,0.99,0.31,0.24,0.12,1
-0.05,-0.12,0.99,0.49,0.43,0.12,1
-0.05,-0.11,0.99,0.43,0.12,0.31,1
-0.05,-0.11,0.99,0.12,0.18,0.43,1
-0.05,-0.12,0.99,0.37,0,0.55,1
-0.05,-0.11,0.99,0.49,0.49,0.06,1
-0.05,-0.11,0.99,0.24,0.31,0.06,1
-0.06,-0.12,0.99,0.61,0.24,0,1
-0.05,-0.11,0.99,0.79,0.24,0.55,1
-0.05,-0.11,0.99,0.12,0.18,0.06,1
-0.05,-0.12,0.99,0.55,0.37,0,1
-0.05,-0.11,0.99,0.92,0.31,0.43,1
-0.05,-0.12,0.99,0.98,0.43,0.92,1
-0.05,-0.11,0.99,0.37,0.24,0.37,1
-0.05,-0.11,0.99,0.49,0.55,0.12,1
-0.06,-0.11,0.99,0.67,0.31,0.37,1
-0.05,-0.11,0.99,0.37,0.18,0.43,1
-0.05,-0.11,0.99,0.31,0.31,0,1
-0.05,-0.11,0.99,0.49,0.24,0.31,1
-0.05,-0.11,0.99,-0.24,0.12,0.49,1
-0.05,-0.11,0.99,0.49,0.12,0.06,1
-0.05,-0.11,0.99,0.24,0.06,0.06,1
-0.05,-0.11,0.99,0.67,0.37,0,1
-0.06,-0.11,0.99,0.67,0.37,0.61,1
-0.05,-0.11,0.99,0.31,0.31,0.18,1
-0.06,-0.11,0.99,0.79,-0.12,0.92,1
-0.06,-0.11,0.99,0.37,0.18,0.24,1
-0.05,-0.11,0.99,0.37,0.24,0.73,1
-0.05,-0.12,0.99,0.85,0.24,0.06,1
-0.05,-0.11,0.99,0.55,0.12,0.06,1
-0.05,-0.12,0.99,1.28,0.43,0,1
-0.05,-0.13,0.99,1.04,0.43,0.31,1
-0.05,-0.12,0.99,0.37,0.12,0.92,1
-0.06,-0.12,0.99,-0.67,0.79,-1.1,1
-0.05,-0.13,0.99,1.16,0.37,0.43,1
-0.05,-0.13,0.99,0.49,0.12,0.31,1
-0.05,-0.12,0.99,0.24,0.37,0.37,1
-0.05,-0.13,0.99,1.04,0.24,0.37,1
-0.05,-0.13,0.99,0.79,0.37,0.12,1
-0.05,-0.13,0.99,0.79,0.37,0.61,1
-0.05,-0.13,0.99,0.31,0.24,0.31,1
-0.05,-0.13,0.99,0.55,0.18,0.43,1
-0.05,-0.13,0.99,1.1,0.18,0.12,1
-0.05,-0.13,0.99,0.18,0.49,0.49,1
-0.05,-0.13,0.99,0.49,0.12,0.18,1
-0.05,-0.13,0.99,0.67,0.12,-0.06,1
-0.05,-0.14,0.99,0.12,0.31,0.18,1
-0.05,-0.13,0.99,0.55,0.31,-0.06,1
-0.05,-0.13,0.99,0.73,0.37,0.55,1
-0.05,-0.14,0.99,0.73,0.24,0.43,1
-0.05,-0.13,0.99,0.55,0.24,0.43,1
-0.05,-0.13,0.99,0.12,0.31,0.24,1
